保留盈餘,保留盈餘（或累積虧損）,公司代號,公司名稱,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,市場,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
1344094,,8279,生展,,2731,,4,上櫃,113,,0,,2236076,,2236076,,0,,82.51,520156,1155043,271009,848518,618242,3084594,,328362,1929551,0
619596,,8284,三竹,,,,4,上櫃,113,,0,,1334680,,1334680,,0,,28.80,713184,1637692,463420,722776,251664,2057456,,9592,419764,0
561920,,8289,泰藝,,-44255,,4,上櫃,113,0,0,,1599099,,1599099,,0,,23.40,406972,1520890,683338,566332,398096,2165431,0,159360,644541,0
-539761,,8291,尚茂,,,,4,上櫃,113,,,,107707,,,,0,,1.66,147034,70497,647350,172703,118,280410,,25669,209913,0
34283152,,8299,群聯,,-338243,,4,上櫃,113,0,0,,49066063,,49056697,,0,,238.35,14219523,54040831,2058178,20273104,13053610,69339167,9366,6053581,15298336,483698
666362,,8342,益張,,-10358,,4,上櫃,113,,,,1068905,,1034972,,0,,30.86,600799,1049600,335367,721519,43601,1790424,33933,120720,740824,0
2141771,,8349,恒耀國際,,-375312,,4,上櫃,113,,,,7561054,,6328522,,0,,35.29,6720411,9604160,1793095,13964431,2768968,21525485,1232532,7244020,11921325,0
1241372,,8354,冠好,,50505,,4,上櫃,113,,0,,2136139,,2136139,,0,,27.20,1958784,2341504,785323,2231375,58939,4367514,,272591,2026010,0
2452065,,8358,金居,,-8099,,4,上櫃,113,,0,,6530743,,6530743,,0,,25.86,2221418,4533237,2525880,2249712,1560897,8780455,,28294,4247218,0
1320112,,8383,千附,,28992,,4,上櫃,113,-31717,,,4428512,,3687681,,951759,,32.69,1208030,2959631,1137605,1425412,1232689,5853924,740831,217382,2894293,0
1443532,,8390,金益鼎,,63316,,4,上櫃,113,,0,,3279185,,3279185,,0,,34.12,448210,2676270,961161,601707,811176,3880892,0,153497,1204622,0
308166,,8401,白紗科,,0,,4,上櫃,113,,,,1126870,,,,0,,17.06,331706,874645,660458,414391,158246,1541261,,82685,666616,0
1048993,,8403,盛弘,,47004,,4,上櫃,113,,0,,3981066,,3556895,,0,,27.13,1859999,3392392,1310861,3120651,1150037,7101717,424171,1260652,3709325,0
-71516,,8409,商之器,,-7458,,4,上櫃,113,,,,313453,,313453,,0,,9.80,237364,306524,320000,246216,72427,559669,,8852,253145,0
1165293,,8410,森田,,0,,4,上櫃,113,0,0,,1855626,,,,0,,50.72,302706,1499435,365892,473991,324441,2329617,,171285,830182,0
10624188,,8415,大國鋼,,-615778,,4,上櫃,113,-103048,,,27374394,,24073618,,16139000,,23.71,8250247,20825357,10315000,16353934,3853256,43728328,3300776,8103687,22902971,0
1093107,,8416,實威,,6840,,4,上櫃,113,,0,,1514679,,1514679,,0,,53.69,385741,1651728,282107,420725,132625,1935404,,34984,283676,0
212477,,8421,旭源,,-64637,,4,上櫃,113,-9450,0,,809650,,775904,,568000,,14.30,628716,891480,548171,1101688,89343,1911338,33746,472972,1019858,0
119668,,8423,保綠-KY,,-58039,,4,上櫃,113,,0,,604005,,604005,,0,,14.91,204685,390949,404991,289824,137385,893829,,85139,502880,0
696500,,8424,惠普,,,,4,上櫃,113,,,,1118204,,1118204,,0,,31.01,198924,603185,360544,209229,61160,1327433,,10305,724248,0
736878,,8426,紅木-KY,,-242567,,4,上櫃,113,0,0,,1290647,,1290647,,0,,25.69,604184,1344019,502425,1071161,293911,2361808,,466977,1017789,0
256704,,8431,匯鑽科,,-340,,4,上櫃,113,-30438,,,1144171,,998740,,523000,,22.77,400466,802893,443915,516439,328899,1660610,145431,115973,857717,0
480678,,8432,東生華,0,67579,,4,上櫃,113,,,,1622968,,1391792,,0,,36.25,208895,1304702,383981,219225,459554,1842193,231176,10330,537491,0
1690830,,8433,弘帆,,58842,,4,上櫃,113,,,,2596685,,2596685,,0,,47.90,1798043,3064071,542129,2741477,304884,5338162,0,943434,2274091,107867
401464,,8435,鉅邁,,-18746,,4,上櫃,113,,0,,812218,,812218,,0,,25.62,153984,792112,317004,185026,112496,997244,,31042,205132,0
4684018,,8436,大江,,-153980,,4,上櫃,113,-509948,0,,9488176,,8096098,,7563000,,73.14,2825526,7681936,1182608,4226569,2893400,13714745,1392078,1401043,6032809,0
1529424,,8437,大地-KY,,-355325,,4,上櫃,113,,0,,2467543,,2467543,,0,,51.57,507044,1271118,478511,557872,814933,3025415,,50828,1754297,0
152824,,8440,綠電,,,,4,上櫃,113,,0,,635021,,635021,,0,,14.53,69685,379406,437002,134716,45195,769737,,65031,390331,0
-1593974,,8444,綠河-KY,,111646,,4,上櫃,113,-33670,0,,949123,,1008590,,497000,,10.01,6923954,1007456,1030129,7177263,1494459,8126386,-59467,253309,7118930,821290
1338039,,8446,華研,,-4068,,4,上櫃,113,,0,,2109204,,2109215,,0,,39.86,647922,1451919,529144,788627,246100,2897831,-11,140705,1445912,0
-283559,,8450,霹靂,,-184771,,4,上櫃,113,,,,701320,,698070,,0,,13.60,329163,700216,513099,745841,653301,1447161,3250,416678,746945,0
304430,,8455,大拓-KY,,-84615,,4,上櫃,113,,,,597277,,496876,,0,,19.70,591849,696661,252191,736960,24870,1334237,100401,145111,637576,0
-78461,,8472,納維康,,,,4,上櫃,113,,,,285070,,285070,,0,,16.07,557642,233013,177358,714469,186173,999539,,156827,766526,0
-239465,,8477,創業家,,-694,,4,上櫃,113,,,,401975,,401975,,0,,6.26,128210,297212,641706,140480,428,542455,0,12270,245243,0
9669,,8489,三貝德,,-13445,,4,上櫃,113,0,,,732796,,427208,,0,,11.43,627821,1083735,373615,1073772,57369,1806568,305588,445951,722833,0
1375473,,8905,裕國,,44797,,4,上櫃,113,-36820,0,,2771560,,2771179,,4123000,,24.03,543818,1715785,1194400,737688,193329,3509248,381,193870,1793463,0
-36663,,8906,花王,,23322,,4,上櫃,113,-53839,0,,470771,,,,1877203,,11.17,307970,224259,440374,1631048,97577,2101819,,1323078,1877560,0
