CompanyName,Date,SecuritiesCompanyCode,保留盈餘,共同控制下前手權益,其他權益,合併前非屬共同控制股權,季別,年度,庫藏股票,待註銷股本股數（單位：股）,權益─具證券性質之虛擬通貨,權益總計,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
新麥,1150904,1580,2394243.00,,14570.00,,2,115,0.00,,,3287506.00,3114578.00,0.00,63.13,1236101.00,2946410.00,493392.00,1475365.00,212373.00,4762871.00,172928.00,239264.00,1816461.00,0.00
精剛,1150904,1584,520231.00,,-54777.00,,2,115,-177757.00,0.00,,4729828.00,4656837.00,7518000.00,20.70,547276.00,2992632.00,2324705.00,2949386.00,2044435.00,7679214.00,72991.00,2402110.00,4686582.00,0.00
和勤,1150904,1586,339400.00,,-11669.00,,2,115,-220324.00,0.00,,2008587.00,2008587.00,5554000.00,19.83,1231062.00,1919000.00,1068495.00,1697722.00,832685.00,3706309.00,,466660.00,1787309.00,0.00
駿吉-KY,1150904,1591,37518.00,,-118763.00,,2,115,,0.00,,448388.00,448388.00,0.00,11.78,277967.00,406764.00,380480.00,304046.00,149153.00,752434.00,,26079.00,345670.00,0.00
祺驊,1150904,1593,436763.00,,-54592.00,,2,115,,,,1468809.00,1366245.00,0.00,34.34,382092.00,1183649.00,397848.00,416746.00,586226.00,1885555.00,102564.00,34654.00,701906.00,0.00
川寶,1150904,1595,1328612.00,,592.00,,2,115,-7623.00,,,2693304.00,2693025.00,233000.00,48.68,931135.00,2448582.00,555549.00,1304069.00,815895.00,3997373.00,279.00,372934.00,1548791.00,0.00
宏佳騰,1150904,1599,796955.00,,-49780.00,,2,115,-32370.00,0.00,,1881158.00,1848305.00,1000000.00,25.66,536033.00,1218226.00,730287.00,779068.00,403213.00,2660226.00,32853.00,243035.00,1442000.00,0.00
台蠟,1150904,1742,165721.00,,17404.00,,2,115,0.00,0.00,,1272311.00,1272311.00,0.00,13.73,118710.00,347598.00,926713.00,174601.00,162473.00,1446912.00,,55891.00,1099314.00,0.00
生泰,1150904,1777,1147254.00,,0.00,,2,115,,0.00,,2576947.00,,0.00,57.79,522801.00,1791495.00,445917.00,587805.00,983776.00,3164752.00,,65004.00,1373257.00,0.00
立弘,1150904,1780,211017.00,,9647.00,,2,115,,0.00,,1515854.00,1515854.00,0.00,13.90,1001099.00,1897889.00,1090752.00,1041385.00,204438.00,2557239.00,,40286.00,659350.00,0.00
合世,1150904,1781,-154501.00,,-51450.00,,2,115,,0.00,,303232.00,303232.00,0.00,6.40,155396.00,421300.00,474076.00,352541.00,35107.00,655773.00,,197145.00,234473.00,0.00
訊聯,1150904,1784,89315.00,,-8584.00,,2,115,-153477.00,0.00,,2201018.00,1227522.00,3291000.00,24.63,450131.00,1921160.00,531212.00,879324.00,769056.00,3080342.00,973496.00,429193.00,1159182.00,0.00
