保留盈餘,公司代號,公司名稱,共同控制下前手權益,其他權益,出表日期,合併前非屬共同控制股權,季別,年度,庫藏股票,待註銷股本股數,權益─具證券性質之虛擬通貨,權益總計,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,股本,負債總計,資本公積,資產總計,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
4097695.00,1231,聯華食,,26722.00,1150905,,2,115,,,,7519153.00,7501256.00,0.00,25.13,4885903.00,6783779.00,3282999.00,8798733.00,93840.00,16317886.00,17897.00,3912830.00,9534107.00,0.00
3884176.00,1232,大統益,,7071.00,1150905,,2,115,,0.00,,5741214.00,5514780.00,0.00,34.47,3809801.00,7829900.00,1599749.00,4974265.00,23784.00,10715479.00,226434.00,1164464.00,2885579.00,0.00
547308.00,1233,天仁,,-52386.00,1150905,,2,115,-1974.00,0.00,,1407554.00,1404368.00,43000.00,15.51,539690.00,703592.00,905919.00,791202.00,5501.00,2198756.00,3186.00,251512.00,1495164.00,0.00
14123584.00,1234,黑松,,106884.00,1150905,,2,115,,,,18436115.00,18436115.00,0.00,45.88,3563115.00,9508518.00,4018711.00,5923049.00,186936.00,24359164.00,,2359934.00,14850646.00,0.00
1044390.00,1235,興泰,,132930.00,1150905,,2,115,-879488.00,,,2863445.00,2643570.00,143117570.00,58.15,1888034.00,816890.00,1980067.00,2273605.00,365671.00,5137050.00,219875.00,385571.00,4320160.00,0.00
1352674.00,1236,宏亞,,358623.00,1150905,,2,115,,,,2612242.00,2612242.00,0.00,30.14,665281.00,678291.00,866740.00,963253.00,34205.00,3575495.00,,297972.00,2897204.00,0.00
2270785.00,1256,鮮活果汁-KY,,167051.00,1150905,,2,115,,,,4206387.00,4198589.00,0.00,117.36,1306436.00,2879330.00,357748.00,1580414.00,1403005.00,5786801.00,7798.00,273978.00,2907471.00,0.00
210746809.00,1301,台塑,0.00,287999359.00,1150905,,2,115,0.00,0.00,0.00,574262155.00,574262155.00,0.00,90.21,107764931.00,324650972.00,63657408.00,206699163.00,11858579.00,780961318.00,0.00,98934232.00,456310346.00,0.00
264856051.00,1303,南亞,,66674117.00,1150905,,2,115,,0.00,,497654350.00,477747773.00,0.00,60.24,117261172.00,208542666.00,79308216.00,225379100.00,66909389.00,723033450.00,19906577.00,108117928.00,514490784.00,0.00
5312084.00,1304,台聚,,378374.00,1150905,,2,115,-475606.00,,,34908733.00,17609494.00,116465574.00,16.42,13609949.00,24209025.00,11887635.00,29815460.00,507007.00,64724193.00,17299239.00,16205511.00,40515168.00,0.00
1829733.00,1305,華夏,,37454.00,1150905,,2,115,,,,8196221.00,7698344.00,0.00,13.25,3949384.00,4928771.00,5810505.00,10549958.00,20652.00,18746179.00,497877.00,6600574.00,13817408.00,0.00
