不動產及設備,不動產及設備－淨額,使用權資產,使用權資產－淨額,保留盈餘,保留盈餘（或累積虧損）,保險負債,公司代號,公司名稱,共同控制下前手權益,其他借款,其他權益,其他負債,其他資產,其他資產－淨額,其他金融負債,其他金融資產－淨額,具金融商品性質之保險契約準備,再保險合約資產,再保險合約資產－淨額,分離帳戶保險商品負債,分離帳戶保險商品資產,受限制資產－淨額,合併前非屬共同控制股權,外匯價格變動準備,央行及同業融資,央行及金融同業存款,央行及銀行同業存款,存放央行及拆借金融同業,存放央行及拆借銀行同業,存款及匯款,季別,市場,年度,庫藏股票,待出售資產,待出售資產－淨額,待分配予業主之資產（或處分群組）,待分配予業主之資產－淨額,待註銷股本股數（單位：股）,應付債券,應付公司債,應付商業本票－淨額,應付款項,應付金融債券,應收款項,應收款項－淨額,投資,投資性不動產投資－淨額,投資性不動產－淨額,按攤銷後成本衡量之債務工具投資,採用權益法之投資－淨額,本期所得稅負債,本期所得稅資產,權益─具證券性質之虛擬通貨,權益總計,權益總額,權益－具證券性質之虛擬通貨,歸屬於母公司業主之權益,歸屬於母公司業主之權益合計,歸屬於母公司業主權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,母公司暨子公司持有之母公司庫藏股股數（單位：股）,每股參考淨值,流動負債,流動資產,無形資產,無形資產－淨額,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產,短期債務,租賃負債,股本,與待出售資產直接相關之負債,負債準備,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融負債－淨額,避險之衍生金融資產,避險之衍生金融資產淨額,附買回票券及債券負債,附賣回票券及債券投資,附賣回票券及債券投資淨額,非控制權益,非流動負債,非流動資產,預收股款（權益項下）之約當發行股數（單位：股）
,,,,5025470,,,3026,禾伸堂,,,-100870,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,10174771,,,,9743561,,0,,58.73,3673788,10710609,,,,,,,,,1658903,,,5518388,,,3160058,15693159,,,,,,,,,,,,,,431210,1844600,4982550,0
,,,,298278,,,3027,盛達,,,-25700,,,,,,,,,,,,,,,,,,,,3,上市,113,-25057,,,,,,,,,,,,,,,,,,,,,2462156,,,,2100358,,1146000,,18.31,1478443,2509830,,,,,,,,,1158856,,,1587746,,,693981,4049902,,,,,,,,,,,,,,361798,109303,1540072,352800
,,,,1766715,,,3028,增你強,,,389673,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,5874792,,,,5874792,,0,,25.04,14842935,19594123,,,,,,,,,2372412,,,15086992,,,1345992,20961784,,,,,,,,,,,,,,,244057,1367661,0
,,,,1382007,,,3029,零壹,,,9387,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,6564426,,,,5272593,,0,,31.57,4238007,8780780,,,,,,,,,1670052,,,4500696,,,2211147,11065122,,,,,,,,,,,,,,1291833,262689,2284342,0
,,,,5367855,,,3030,德律,,,-20167,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,7763138,,,,7763138,,0,,32.86,1785942,5625204,,,,,,,,,2362160,,,2063133,,,53290,9826271,,,,,,,,,,,,,,,277191,4201067,0
,,,,766009,,,3031,佰鴻,,,97829,,,,,,,,,,,,,,,,,,,,3,上市,113,0,,,,,,,,,,,,,,,,,,,,,3089560,,,,2991041,,0,,17.27,416229,1915448,,,,,,,,,1732032,,,494909,,,395171,3584469,,,,,,,,,,,,,,98519,78680,1669021,0
,,,,1808940,,,3032,偉訓,,,-164136,,,,,,,,,,,,,,,,,,,,3,上市,113,-29532,,,,,,,,,,,,,,,,,,,,,4437966,,,,3189895,,1000000,,28.41,3662418,6216919,,,,,,,,,1132856,,,3680326,,,441767,8118292,,,,,,,,,,,,,,1248071,17908,1901373,0
,,,,2978413,,,3033,威健,,,177970,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,,,,,,,,,,,,,,,,,10135914,,,,10135914,,0,,21.92,25729460,38459423,,,,,,,,,4624031,,,28979618,,,2355500,39115532,,,,,,,,,,,,,,,3250158,656109,0
,,,,53140546,,,3034,聯詠,,,1857062,,,,,,,,,,,,,,,,,,,,3,上市,113,0,,,,,0,,,,,,,,,,,,,,,,63457777,,,,63457777,,0,,104.28,21472274,73450301,,,,,,,,,6085115,,,33380091,,,2375054,96837868,,,,,,,,,,,,,,0,11907817,23387567,0
,,,,4962366,,,3035,智原,,,1258424,,,,,,,,,,,,,,,,,,,,3,上市,113,,,,,,0,,,,,,,,,,,,,,,,13520341,,,,13151556,,0,,50.48,3888304,10900525,,,,,,,,,2605503,,,4906714,,,4325263,18427055,,,,,,,,,,,,,,368785,1018410,7526530,0
