CompanyName,Date,Season,SecuritiesCompanyCode,Year,停業單位損益,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,已實現銷貨（損）益,所得稅費用（利益）,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益（損失）,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
協禧,1150904,2,3071,115,,,89153.00,,,,0.49,,51501.00,,81915.00,171068.00,,53899.00,28016.00,177868.00,-44452.00,1040970.00,1513710.00,472740.00,472740.00,294872.00,,133416.00,,133315.00,37753.00,81915.00
天方能源,1150904,2,3073,115,,0.00,-6920.00,,,,-0.27,,0.00,,-10907.00,-17827.00,,-10507.00,-400.00,-12974.00,2067.00,75506.00,90021.00,14515.00,14515.00,27489.00,,-10907.00,,-17427.00,-400.00,-10907.00
僑威,1150904,2,3078,115,,,157538.00,,,,1.02,,71811.00,,230929.00,388467.00,,230929.00,,224422.00,78318.00,2595758.00,3210107.00,614349.00,614349.00,389927.00,,302740.00,,388467.00,,230929.00
聯亞,1150904,2,3081,115,,,1592.00,,,,7.75,,196490.00,,786002.00,787594.00,,,,945800.00,36692.00,928723.00,2125567.00,1196844.00,1196844.00,251044.00,,982492.00,,,,786002.00
網龍,1150904,2,3083,115,,,31080.00,,,,0.30,,1924.00,,27551.00,58631.00,,25775.00,1776.00,-3758.00,33233.00,28401.00,187055.00,158654.00,158654.00,162412.00,,29475.00,,56751.00,1880.00,27551.00
新零售,1150904,2,3085,115,,,-5245.00,,,,-0.35,,0.00,,-23838.00,-29083.00,,-23838.00,,-28437.00,4599.00,12344.00,34557.00,22213.00,22213.00,50650.00,,-23838.00,,-29083.00,,-23838.00
華義*,1150904,2,3086,115,,,-195.00,,,,-0.06,,6.00,,-18743.00,-18938.00,,-16870.00,-1873.00,-22451.00,3714.00,50065.00,69502.00,19437.00,19437.00,41888.00,,-18737.00,,-16959.00,-1979.00,-18743.00
艾訊,1150904,2,3088,115,,,5570.00,,,,4.28,61.00,134299.00,67.00,480048.00,485618.00,,466085.00,13963.00,566838.00,47509.00,3087015.00,4613348.00,1526333.00,1526327.00,959489.00,,614347.00,,471655.00,13963.00,480048.00
港建*,1150904,2,3093,115,,,581599.00,,,,0.41,,16778.00,,59017.00,640616.00,,59017.00,0.00,61757.00,14038.00,556650.00,765861.00,209211.00,209211.00,147454.00,,75795.00,,640616.00,0.00,59017.00
及成,1150904,2,3095,115,,,1610.00,,,,1.73,,11.00,,17344.00,18954.00,,17344.00,,21825.00,-4470.00,281477.00,360109.00,78632.00,78632.00,56807.00,,17355.00,,18954.00,,17344.00
穩懋,1150904,2,3105,115,,,1535855.00,,,,3.56,,366849.00,,1353387.00,2889242.00,,1510391.00,-157004.00,1172913.00,547323.00,7153704.00,9847328.00,2693624.00,2693624.00,1520711.00,,1720236.00,,3030635.00,-141393.00,1353387.00
好德,1150904,2,3114,115,,,62361.00,,,,1.02,,16322.00,,68458.00,130819.00,,68458.00,0.00,56846.00,27934.00,1394800.00,1558134.00,163334.00,163334.00,106488.00,,84780.00,,130819.00,0.00,68458.00
富榮綱,1150904,2,3115,115,,,3802.00,,,,-0.09,,290.00,,-6190.00,-2388.00,,-6190.00,,-13389.00,7489.00,0.00,3947.00,3947.00,3947.00,17336.00,,-5900.00,,-2388.00,,-6190.00
進階,1150904,2,3118,115,,,,,,,0.95,,6944.00,,30800.00,30800.00,,,,31852.00,5892.00,206726.00,321210.00,114484.00,114484.00,82632.00,,37744.00,,,,30800.00
笙泉,1150904,2,3122,115,,,772.00,,,,-0.73,,42.00,,-29664.00,-28892.00,,-29664.00,0.00,-28956.00,-666.00,105958.00,162390.00,56432.00,56432.00,85388.00,,-29622.00,,-28892.00,0.00,-29664.00
昇銳,1150904,2,3128,115,,,,,,,0.27,,3735.00,,13859.00,13859.00,,12796.00,1063.00,16357.00,1237.00,343785.00,482657.00,138872.00,138872.00,122515.00,,17594.00,,12796.00,1063.00,13859.00
弘塑,1150904,2,3131,115,,,166910.00,,,,27.27,,202770.00,,783752.00,950662.00,,786489.00,-2737.00,574907.00,411615.00,2112683.00,3322908.00,1210225.00,1210225.00,635318.00,,986522.00,,953381.00,-2719.00,783752.00
晶宏,1150904,2,3141,115,,,125460.00,,,,2.19,,20726.00,,154226.00,279686.00,,162768.00,-8542.00,101835.00,73117.00,497166.00,885182.00,388016.00,388016.00,286181.00,,174952.00,,288228.00,-8542.00,154226.00
大綜,1150904,2,3147,115,,,1722.00,,,,11.26,,139137.00,,491761.00,493483.00,,491761.00,0.00,625022.00,5876.00,7796239.00,8855091.00,1058852.00,1058852.00,433830.00,,630898.00,,493489.00,-6.00,491761.00
璟德,1150904,2,3152,115,,,,,,,3.21,,49691.00,,191687.00,191687.00,,,,216188.00,25190.00,426155.00,758791.00,332636.00,332636.00,116448.00,,241378.00,,,,191687.00
嘉實,1150904,2,3158,115,,,-106.00,,,,3.48,,26701.00,,106035.00,105929.00,,106035.00,0.00,127347.00,5389.00,196621.00,556378.00,359757.00,359757.00,232410.00,,132736.00,,105929.00,0.00,106035.00
精確,1150904,2,3162,115,,,39356.00,,,,0.05,,11459.00,,8991.00,48347.00,,7880.00,1111.00,28197.00,-7747.00,3865903.00,4342980.00,477077.00,477077.00,448880.00,,20450.00,,45489.00,2858.00,8991.00
波若威,1150904,2,3163,115,,,22361.00,,,,3.50,,14958.00,,331537.00,353898.00,,331537.00,,45112.00,301383.00,1034308.00,1247946.00,213638.00,213638.00,168526.00,,346495.00,,353898.00,,331537.00
亞信,1150904,2,3169,115,,,2410.00,,,,1.96,,24544.00,,123936.00,126346.00,,123936.00,,132105.00,16375.00,227357.00,495261.00,267904.00,267904.00,135799.00,,148480.00,,126346.00,,123936.00
炎洲流通,1150904,2,3171,115,,,11599.00,,,,3.76,,29401.00,,128772.00,140371.00,,118771.00,10001.00,157368.00,805.00,1056491.00,1413057.00,356566.00,356566.00,199198.00,,158173.00,,127617.00,12754.00,128772.00
基亞,1150904,2,3176,115,,,-19235.00,,,,-0.57,2553.00,13162.00,0.00,-74033.00,-93268.00,,-79132.00,5099.00,-47158.00,-13713.00,237741.00,546240.00,308499.00,311052.00,358210.00,,-60871.00,,-82692.00,-10576.00,-74033.00
公準,1150904,2,3178,115,,,998.00,,,,0.43,,2404.00,,19561.00,20559.00,,19221.00,340.00,19210.00,2755.00,546667.00,661500.00,114833.00,114833.00,95623.00,,21965.00,,19919.00,640.00,19561.00
鑫龍騰,1150904,2,3188,115,,,,,,,3.40,,169402.00,,640933.00,640933.00,,640933.00,,814903.00,-4568.00,1543131.00,2531129.00,987998.00,987998.00,173095.00,,810335.00,,640933.00,,640933.00
雲嘉南,1150904,2,3191,115,,0.00,1578.00,,,,-0.26,,1718.00,,-11245.00,-9667.00,,-11245.00,,-11239.00,1712.00,64684.00,89956.00,25272.00,25272.00,36511.00,,-9527.00,,-9667.00,,-11245.00
佰研,1150904,2,3205,115,,,-42887.00,,,,0.02,,0.00,,1026.00,-41861.00,,1673.00,-647.00,-4762.00,5788.00,312766.00,335238.00,22472.00,22472.00,27234.00,,1026.00,,-41214.00,-647.00,1026.00
志豐,1150904,2,3206,115,,,42446.00,,,,0.82,,22788.00,,48715.00,91161.00,,48372.00,343.00,70576.00,927.00,1273573.00,1606949.00,333376.00,333376.00,262800.00,,71503.00,,88700.00,2461.00,48715.00
耀勝,1150904,2,3207,115,,,33993.00,,,,-1.09,,1224.00,,-36226.00,-2233.00,,-72307.00,36081.00,-71932.00,36930.00,673065.00,823862.00,150797.00,150797.00,222729.00,,-35002.00,,-38275.00,36042.00,-36226.00
順達,1150904,2,3211,115,,,166764.00,,,,3.40,,91158.00,,520024.00,686788.00,,520024.00,,646166.00,-34984.00,5682496.00,6835813.00,1153317.00,1153317.00,507151.00,,611182.00,,686788.00,,520024.00
茂訊,1150904,2,3213,115,,,212641.00,,,,5.62,,137564.00,,344970.00,557611.00,,329540.00,15430.00,445196.00,37338.00,1113503.00,1736008.00,622505.00,622505.00,177309.00,,482534.00,,542181.00,15430.00,344970.00
優群,1150904,2,3217,115,,,604436.00,,,,5.20,,123199.00,,468243.00,1072679.00,,468243.00,,561092.00,30350.00,981297.00,1895341.00,914044.00,914044.00,352952.00,,591442.00,,1072679.00,,468243.00
大學光,1150904,2,3218,115,,,115401.00,,,,5.99,,136247.00,,513607.00,629008.00,,507233.00,6374.00,681767.00,-31913.00,940777.00,2216295.00,1275518.00,1275518.00,593751.00,,649854.00,,618128.00,10880.00,513607.00
倚強科,1150904,2,3219,115,,,33140.00,,,,2.66,,50114.00,,196699.00,229839.00,,190620.00,6079.00,261026.00,-14213.00,349964.00,1135331.00,785367.00,785367.00,524341.00,,246813.00,,207331.00,22508.00,196699.00
