停業單位損益,公司代號,公司名稱,其他收益及費損淨額,其他綜合損益（淨額）,原始認列生物資產及農產品之利益（損失）,合併前非屬共同控制股權損益,合併前非屬共同控制股權綜合損益淨額,基本每股盈餘（元）,季別,已實現銷貨（損）益,市場,年度,所得稅費用（利益）,支出及費用,收益,未實現銷貨（損）益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,營業利益,營業利益（損失）,營業外損益,營業外收入及支出,營業成本,營業收入,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用,生物資產當期公允價值減出售成本之變動利益（損失）,稅前淨利（淨損）,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,繼續營業單位本期淨利（淨損）
,3152,璟德,,2600,,,,9.42,4,,上櫃,114,49246,,,,,650300,652900,,,,,,,275747,,423799,813219,1425963,612744,612744,336997,,699546,,,,650300
,3158,嘉實,,453,,,,7.27,4,,上櫃,114,33936,,,,,197546,197999,,,,197545,1,,224049,,7433,360436,1012367,651931,651931,427882,,231482,,197998,1,197546
,3162,精確,,198460,,,,1.70,4,,上櫃,114,-2106,,,,,219989,418449,,,,222411,-2422,,226895,,-9012,6735535,7698847,963312,963312,736417,,217883,,419990,-1541,219989
,3163,波若威,,-23527,,,,6.22,4,,上櫃,114,34356,,,,,501149,477622,,,,501149,,,119668,,415837,1823534,2225651,402117,402117,282449,,535505,,477622,,501149
,3169,亞信,,-7492,,,,3.67,4,,上櫃,114,44942,,,,,231505,224013,,,,231505,,,257673,,18774,434732,929566,494834,494834,237161,,276447,,224013,,231505
,3171,炎洲流通,,12596,,,,4.30,4,,上櫃,114,35876,,,,,151403,163999,,,,142565,8838,,175257,,12022,1406051,1911393,505342,505342,330085,,187279,,149731,14268,151403
,3176,基亞,,-153442,,,,-0.78,4,,上櫃,114,77353,,,47296,,-295950,-449392,,,,-108803,-187147,,-156991,,-61606,677481,1582503,905022,857726,1014717,,-218597,,-164148,-285244,-295950
,3178,公準,,3162,,,,-0.46,4,,上櫃,114,-4805,,,,,-19887,-16725,,,,-20636,749,,-18365,,-6327,1085976,1256311,170335,170335,188700,,-24692,,-17504,779,-19887
,3188,鑫龍騰,,,,,,4.05,4,,上櫃,114,214041,,,,,754959,754959,,,,754959,,,976720,,-7720,1474722,2695810,1221088,1221088,244368,,969000,,754959,,754959
,3191,雲嘉南,,10412,,,,0.51,4,,上櫃,114,-1813,,,,,22023,32435,,,,22023,,,-29490,,49700,128664,168527,39863,39863,69353,,20210,,32435,,22023
,3205,佰研,,1060,,,,-0.92,4,,上櫃,114,0,,,,,-49877,-48817,,,,-49564,-313,,-58507,,8630,288368,346080,57712,57712,116219,,-49877,,-48294,-523,-49877
,3206,志豐,,3138,,,,2.02,4,,上櫃,114,50314,,,,,123898,127036,,,,119142,4756,,140890,,33322,2527929,3190460,662531,662531,521641,,174212,,124114,2922,123898
,3207,耀勝,,-48590,,,,-0.82,4,0,上櫃,114,3503,,,0,,-77700,-126290,,,,-54056,-23644,,-98448,,24251,1625064,1921193,296129,296129,394577,,-74197,,-101360,-24930,-77700
,3211,順達,,-295121,,,,9.05,4,,上櫃,114,418384,,,,,1381809,1086688,,,,1381809,,,1246882,,553311,11025109,13218485,2193376,2193376,946494,,1800193,,1086688,,1381809
,3213,茂訊,,433783,,,,7.40,4,,上櫃,114,121187,,,,,437671,871454,,,,434074,3597,,514845,,44013,2005788,2887211,881423,881423,366578,,558858,,867857,3597,437671
,3217,優群,,-321439,,,,12.69,4,,上櫃,114,300061,,,,,1143047,821608,,,,1143047,,,1306367,,136741,2079027,4148411,2069384,2069384,763017,,1443108,,821608,,1143047
,3218,大學光,,-8185,,,,12.31,4,,上櫃,114,290984,,,,,1054599,1046414,,,,1042637,11962,,1380236,,-34653,1721499,4204086,2482587,2482587,1102351,,1345583,,1036947,9467,1054599
,3219,倚強科,,-31016,,,,1.52,4,,上櫃,114,15590,,,,,151613,120597,,,,108421,43192,,164740,,2463,592454,1703177,1110723,1110723,945983,,167203,,82051,38546,151613
,3221,台嘉碩,,-8775,,,,0.08,4,,上櫃,114,18189,,,,,-25267,-34042,,,,8281,-33548,,27382,,-34460,1773019,2230982,457963,457963,430581,,-7078,,-2094,-31948,-25267
,3224,三顧,,-12800,,,,-1.53,4,,上櫃,114,16875,,,,,-258563,-271363,,,,-104248,-154315,,-231149,,-10539,1317382,1514592,197210,197210,428359,,-241688,,-117087,-154276,-258563
,3226,龍鋒,,692,,,,0.24,4,,上櫃,114,11285,,,2044,,15777,16469,,,,,,,66709,,-39647,1375280,1606553,231273,229229,162520,,27062,,,,15777
,3227,原相,0,391266,,,,12.38,4,,上櫃,114,301713,,,,,1787473,2178739,,,,1811913,-24440,,1890528,,198658,3597104,9127082,5529978,5529978,3639450,,2089186,,2203179,-24440,1787473
,3228,金麗科,,521,,,,-2.03,4,,上櫃,114,0,,,,,-143878,-143357,,,,,,,-147337,,3459,116569,308984,192415,192415,339752,,-143878,,,,-143878
,3230,錦明,0,1338,,,,-1.60,4,,上櫃,114,-1143,,,,,-136403,-135065,,,,-136403,,,-134907,,-2639,365668,403661,37993,37993,172900,,-137546,,-135065,,-136403
,3232,昱捷,,-2059,,,,0.29,4,,上櫃,114,6991,,,,,13329,11270,,,,13329,,,25745,,-5425,736129,892597,156468,156468,130723,,20320,,11270,,13329
,3234,光環,,-1056,,,,-1.40,4,179,上櫃,114,0,,,354,,-160535,-161591,,,,-155678,-4857,,-152989,,-7546,590942,683276,92334,92159,245148,,-160535,,-156734,-4857,-160535
