公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
1725,元禎,13684,2,上市,115,876,677655,822583,144928,156736,-26368
1726,永記,79736,2,上市,115,73952,1817539,2351451,533912,395558,-15334
1727,中華化,,2,上市,115,-250162,126374,170335,43961,37786,256337
1730,花仙子,8809,2,上市,115,-564448,1007812,942332,-65480,134743,355416
1731,美吾華,1997,2,上市,115,-92740,225062,210491,-14571,77286,-1114
1732,毛寶,2029,2,上市,115,-22642,209336,209872,536,21862,-713
1733,五鼎,-1007,2,上市,115,-13282,567091,737658,170567,189381,-4525
1734,杏輝,16137,2,上市,115,-133402,864139,1476846,612707,194445,535527
1735,日勝化,14318,2,上市,115,-8098,393681,438020,44339,28573,9546
1736,喬山,-265878,2,上市,115,-614609,3302851,3373815,70964,3238387,-2286936
1737,臺鹽,888,2,上市,115,-76461,1349371,1569373,220002,281404,14171
1752,南光,,2,上市,115,-126689,345669,363555,17886,120790,23785
1760,寶齡富錦,978,2,上市,115,-77592,460316,471422,11106,140483,-52763
1762,中化生,262,2,上市,115,-35366,216437,329956,113519,199509,-50886
1773,勝一,-143,2,上市,115,-1038681,310657,374172,63515,1172483,-70144
1776,展宇,28114,2,上市,115,-32265,465543,382160,-83383,2976,-82208
1783,和康生,-3055,2,上市,115,19008,576191,745765,169574,155439,-1818
1786,科妍,74,2,上市,115,-28983,845808,677803,-168005,116393,-255489
1789,神隆,15217,2,上市,115,-101029,3110074,3498583,388509,436678,37643
1795,美時,49240,2,上市,115,-3636575,7739617,6325432,-1414185,676410,1496740
1802,台玻,583553,2,上市,115,-4094808,8735559,6113993,-2621566,1206679,-316990
1805,寶徠,-64,2,上市,115,0,388030,411104,23074,-14582,37720
1806,冠軍,6218,2,上市,115,-71159,1888918,1357737,-531181,-82125,-384115
1808,潤隆,,2,上市,115,44696,5381377,9640184,4258807,8642271,-4428160
1809,中釉,26323,2,上市,115,-5152,583766,582248,-1518,-13369,-9320
1810,和成,1644,2,上市,115,181786,599185,656325,57140,-76198,-50092
1817,凱撒衛,17330,2,上市,115,-180477,377278,375060,-2218,171374,-10445
1903,士紙,,2,上市,115,-313582,513921,179873,-334048,-2905,-17561
1904,正隆,202,2,上市,115,-1577902,5964347,8653102,2688755,2840835,1425620
1905,華紙,-24428,2,上市,115,-841967,1940276,1630178,-310098,11838,544459
1906,寶隆,,2,上市,115,-60411,152096,144075,-8021,53120,-730
1907,永豐餘,221265,2,上市,115,-3716553,11679948,11212283,-467665,1812608,1215015
1909,榮成,-980476,2,上市,115,-178908,1200933,1253281,52348,1338104,-126372
2002,中鋼,898118,2,上市,115,-5900901,16818790,16690257,-128533,10615408,-5741158
2006,東和鋼鐵,19964,2,上市,115,-796855,1267035,1226676,-40359,3663449,-2926917
2007,燁興,,2,上市,115,-13762,142530,101996,-40534,15970,-42742
