備註,公司代號,公司名稱,出表日期,營業收入-上月比較增減(%),營業收入-上月營收,營業收入-去年同月增減(%),營業收入-去年當月營收,營業收入-當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月
主係雲端CSP客戶的GB系列AI伺服器導軌持續出貨以及通用型伺服器導軌出貨增溫所致,6584,南俊國際,1150911,-0.07420488396568024,280305,37.664156804152086,203464,280097,電子零組件業,50.04949580275593,1515280,2273670,11508
光通與網通需求回升帶動營收回穩,6588,東典光電,1150911,1.24135255705696,30934,189.01808785529715,10836,31318,通信網路業,135.2352266207688,104580,246009,11508
-,6590,普鴻,1150911,4.872912970669673,60313,20.88063295493636,52326,63252,資訊服務業,12.460020988269788,439293,494029,11508
訂單成長,6593,台灣銘板,1150911,35.39186507936508,32256,107.70474650432797,21026,43672,資訊服務業,11.187269900432035,284931,316807,11508
本期展演節目較去年同期少,6596,寬宏藝術,1150911,144.85725169837676,94502,-73.50798899080888,873452,231395,文化創意業,-32.97480648129587,2459323,1648366,11508
-,6597,立誠,1150911,1.6015458684046768,61066,-6.519413599312953,66371,62044,電子零組件業,-13.692757949045072,498519,430258,11508
-,6603,富強鑫,1150911,-7.000701988817838,443027,-11.69701814659154,466589,412012,電機機械,1.4447461197100524,3065106,3109389,11508
市場需求增加所致。,6609,瀧澤科,1150911,-1.0625412444763727,239426,92.46337718051008,123079,236882,電機機械,7.802791285394987,1513138,1631205,11508
-,6612,奈米醫材,1150911,32.01253327417923,108192,45.710613031901325,98021,142827,生技醫療業,19.82242199414038,748854,897295,11508
營收增加主係半導體廠擴廠暢旺,6613,朋億*,1150911,30.803314798295098,1292507,186.81734976223558,589449,1690642,其他電子業,63.620117125070124,5568748,9111592,11508
-,6615,慧智,1150911,-9.789711298562434,33668,-2.4380842247277634,31131,30372,生技醫療業,-2.2537941432120796,260006,254146,11508
-,6616,特昇-KY,1150911,16.750085398998976,67331,-2.135102833524227,80324,78609,居家生活,-20.880671815215607,681616,539290,11508
自2018年度起依據國際會計準則公報15號規定認列收入,6617,共信-KY,1150911,1.329845214737301,4587,7.842227378190255,4310,4648,生技醫療業,32.095874664736684,23489,31028,11508
營收差異主要係114年4月及8月認列Phyrago授權相關收入所致,6620,漢達,1150911,-4.25363920870539,69658,-79.91967266913751,332141,66695,生技醫療業,-58.24666285413487,1341191,559992,11508
-,6624,萬年清,1150911,95.43890800133171,9011,-45.72212291191518,32446,17611,綠能環保,-31.137619142112776,312442,215155,11508
