公司代號,公司名稱,匯率變動對現金及約當現金之影響,季別,市場,年度,投資活動之淨現金流入（流出）,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,營業活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）
4154,樂威科-KY,2291,4,上櫃,113,-8124,119708,163439,43731,-38072,87636
4157,太景*-KY,841,4,上櫃,113,-110872,374655,74136,-300519,-173088,-17400
4160,訊聯基因,286,4,上櫃,113,-60416,128480,129002,522,81616,-20964
4161,聿新科,23,4,上櫃,113,-12436,368612,380664,12052,158824,-134359
4162,智擎,,4,上櫃,113,-115540,875617,993699,118082,456732,-223110
4163,鐿鈦,2945,4,上櫃,113,-379198,1320168,877146,-443022,274577,-341346
4166,友霖,,4,上櫃,113,-22475,83319,84495,1176,197014,-173363
4167,松瑞藥,,4,上櫃,113,-203494,1082919,1358063,275144,518378,-39740
4168,醣聯,,4,上櫃,113,181997,149467,109508,-39959,-221968,12
4171,瑞基,-16502,4,上櫃,113,-70210,216772,110269,-106503,-23224,3433
4173,久裕,,4,上櫃,113,-68489,554140,2228637,1674497,2150107,-407121
4174,浩鼎,8399,4,上櫃,113,483018,899277,1732050,832773,-1833513,2174869
4175,杏一,7027,4,上櫃,113,-207966,941961,528534,-413427,542235,-754723
4183,福永生技,5110,4,上櫃,113,-14400,195288,128942,-66346,-32338,-24718
4188,安克,,4,上櫃,113,-185428,29658,17756,-11902,-51850,225376
4192,杏國,3,4,上櫃,113,-457,264696,205487,-59209,-49241,-9514
4198,欣大健康,401,4,上櫃,113,7222,198989,150020,-48969,-52036,-4556
4205,中華食,,4,上櫃,113,-124542,971958,989379,17421,410878,-268915
4207,環泰,97864,4,上櫃,113,-216542,658306,821895,163589,307760,-25493
4303,信立,225,4,上櫃,113,-130319,31447,143398,111951,37368,204677
4304,勝昱,-509,4,上櫃,113,-775,72317,10006,-62311,-50016,-11011
4305,世坤,,4,上櫃,113,-183385,251400,90706,-160694,162906,-140215
4401,東隆興,4632,4,上櫃,113,-210608,700623,707850,7227,488112,-274909
4402,郡都開發,,4,上櫃,113,216,273059,263428,-9631,-10244,397
4406,新昕纖,0,4,上櫃,113,-25984,15830,11992,-3838,-18985,41131
4413,飛寶企業,107,4,上櫃,113,2091,218252,84321,-133931,-121543,-14586
4416,三圓,,4,上櫃,113,692495,658408,1313606,655198,-122820,85523
4417,金洲,102071,4,上櫃,113,-519742,795247,800805,5558,598649,-175420
4419,皇家美食,,4,上櫃,113,-1170508,952334,293555,-658779,175972,335757
4420,光明,,4,上櫃,113,2536330,76036,54487,-21549,41019,-2598898
4430,耀億,12958,4,上櫃,113,-30139,429858,419844,-10014,81364,-74197
4432,銘旺實,27312,4,上櫃,113,-25411,651536,861945,210409,249327,-40819
4433,興采,3386,4,上櫃,113,-250517,909847,940331,30484,-114569,392184
4442,竣邦-KY,15144,4,上櫃,113,-13187,330197,472084,141887,199787,-59857
4502,健信,5461,4,上櫃,113,-89795,214615,189468,-25147,196187,-137000
4503,金雨,1210,4,上櫃,113,-66111,232885,801033,568148,-55840,688889
4506,崇友,15476,4,上櫃,113,-133925,2441087,2792171,351084,1187465,-717932
4510,高鋒,2099,4,上櫃,113,38170,326848,315478,-11370,117114,-168753
4513,福裕,34916,4,上櫃,113,-631878,835773,242311,-593462,-729669,733169
4523,永彰,-462,4,上櫃,113,-95672,401266,175149,-226117,-242172,112189
4527,方方土霖,-9485,4,上櫃,113,-78306,472058,793597,321539,576750,-167420
4528,江興鍛,23806,4,上櫃,113,-228628,640789,445263,-195526,265920,-256624
4529,淳紳,1588,4,上櫃,113,51213,30906,30255,-651,-50542,-2910
4530,天意能創,,4,上櫃,113,-109239,36846,82695,45849,18257,136831
4533,協易機,107912,4,上櫃,113,-8500,2277604,2728467,450863,566173,-214722
4534,慶騰,6379,4,上櫃,113,-49047,339753,275665,-64088,25396,-46816
4535,至興,8508,4,上櫃,113,-155255,993619,1099466,105847,455115,-202521
4538,大詠城,337,4,上櫃,113,-53551,70684,70330,-354,98876,-46016
4541,晟田,,4,上櫃,113,-160785,323246,317861,-5385,109338,46062
4542,科嶠,10842,4,上櫃,113,-174753,383075,381930,-1145,10112,152654
4543,萬在,-10065,4,上櫃,113,-223482,637725,555198,-82527,131973,19047
4549,桓達,21282,4,上櫃,113,-731,568604,1058388,489784,287729,181504
4550,長佳,500,4,上櫃,113,-109762,368975,418969,49994,319598,-160342
4554,橙的,-2548,4,上櫃,113,-5686,291202,339111,47909,68872,-12729
4556,旭然,18264,4,上櫃,113,-11406,260314,271137,10823,76465,-72500
4558,寶緯,,4,上櫃,113,-289611,214394,209374,-5020,26445,258146
4561,健椿,,4,上櫃,113,30938,545980,679163,133183,228716,-126471
4563,百德,14807,4,上櫃,113,-225739,838416,810330,-28086,40398,142448
4568,科際精密,6914,4,上櫃,113,-56008,615134,536982,-78152,84010,-113068
4577,達航科技,1723,4,上櫃,113,-11831,171708,174098,2390,67435,-54937
4580,捷流閥業,16098,4,上櫃,113,-5355,1105965,1334227,228262,429491,-211972
4584,君帆,20872,4,上櫃,113,-297971,473989,399451,-74538,260026,-57465
4609,唐鋒,3478,4,上櫃,113,-2935,303972,267424,-36548,-30857,-6234
4702,中美實,0,4,上櫃,113,-172985,434490,281227,-153263,94722,-75000
4706,大恭,10176,4,上櫃,113,-93876,182761,173885,-8876,90385,-15561
4707,磐亞,,4,上櫃,113,-175774,477288,546266,68978,40785,203967
4711,永純,,4,上櫃,113,-24624,364631,362218,-2413,38859,-16648
4714,永捷,382,4,上櫃,113,-16384,345259,564126,218867,-1725263,1960132
4716,大立,78,4,上櫃,113,-21847,500588,513835,13247,67386,-32370
4721,美琪瑪,17270,4,上櫃,113,-29634,182082,466188,284106,297494,-1024
4726,永昕,334,4,上櫃,113,-174931,519268,269565,-249703,-191681,116575
4728,雙美,7785,4,上櫃,113,-21939,854694,775465,-79229,561035,-626110
4729,熒茂,83048,4,上櫃,113,-243678,402277,288179,-114098,158925,-112393
4735,豪展,15359,4,上櫃,113,-42963,424067,434151,10084,192519,-154831
4741,泓瀚,-32,4,上櫃,113,-40858,382888,375859,-7029,110010,-76149
4743,合一,16642,4,上櫃,113,544164,812828,1047758,234930,-345579,19703
4744,皇將,-7681,4,上櫃,113,-90997,617707,758918,141211,214154,25735
4745,合富-KY,172452,4,上櫃,113,40600,834727,1182832,348105,373971,-238918
4747,強生*,,4,上櫃,113,-12958,1087609,1070057,-17552,62877,-67471
4749,新應材,7160,4,上櫃,113,-808190,422644,436567,13923,944187,-129234
